years,population,pop_density,births,deaths,pop_growth,crude_birth_rate,crude_death_rate,TFR,infant_mortality,life_exp
1950,2 499 322,19.2,92 083,48 789,1.73,36.8,19.5,4.86,143.4,46.5
1951,2 543 130,19.5,  92 837,  48 515,1.74,36.5,19.1,4.83,141.3,47.1
1952,2 590 271,19.9,  97 607,  47 647,1.93,37.7,18.4,5.01,137.3,48.2
1953,2 640 279,20.2,  97 556,  47 499,1.90,36.9,18.0,4.94,134.5,48.8
1954,2 691 979,20.6,  100 348,  47 003,1.98,37.3,17.5,5.01,131.7,49.6
1955,2 746 072,21.1,  101 807,  46 966,2.00,37.1,17.1,5.01,128.8,50.1
1956,2 801 003,21.5,  101 827,  46 807,1.96,36.4,16.7,4.94,125.8,50.6
1957,2 857 867,21.9,  105 978,  47 269,2.05,37.1,16.5,5.08,123.7,50.9
1958,2 916 108,22.4,  104 557,  46 783,1.98,35.9,16.0,4.94,121.1,51.5
1959,2 970 292,22.8,  101 922,  51 327,1.70,34.3,17.3,4.74,129.6,49.3
1960,3 019 233,23.2,  102 262,  54 974,1.57,33.9,18.2,4.70,135.1,47.7
1961,3 068 371,23.5,  100 990,  50 003,1.66,32.9,16.3,4.57,124.2,50.4
1962,3 126 687,24.0,  112 053,  46 406,2.10,35.8,14.8,5.03,112.9,53.1
1963,3 195 779,24.5,  119 819,  47 280,2.27,37.5,14.8,5.32,110.1,53.6
1964,3 267 212,25.1,  117 393,  47 065,2.15,35.9,14.4,5.13,108.2,54.2
1965,3 337 112,25.6,  117 932,  48 460,2.08,35.3,14.5,5.08,108.4,53.9
1966,3 406 417,26.1,  117 182,  48 044,2.03,34.4,14.1,4.96,106.8,54.5
1967,3 475 448,26.7,  116 840,  47 915,1.98,33.6,13.8,4.86,105.0,54.9
1968,3 546 811,27.2,  121 750,  47 948,2.08,34.3,13.5,4.96,101.9,55.5
1969,3 620 655,27.8,  122 123,  48 235,2.04,33.7,13.3,4.87,100.2,55.8
1970,3 695 390,28.3,  124 117,  48 534,2.05,33.6,13.1,4.83,98.5,56.1
1971,3 770 163,28.9,  123 647,  49 684,1.96,32.8,13.2,4.68,97.7,55.9
1972,3 844 801,29.5,  123 275,  47 962,1.96,32.1,12.5,4.55,95.0,57.1
1973,3 920 252,30.1,  123 269,  47 680,1.93,31.4,12.2,4.42,93.4,57.6
1974,3 995 517,30.6,  122 437,  47 494,1.88,30.6,11.9,4.27,92.0,58.0
1975,4 069 437,31.2,  120 491,  47 593,1.79,29.6,11.7,4.08,90.7,58.3
1976,4 142 506,31.8,  120 648,  47 408,1.77,29.1,11.4,3.98,88.7,58.7
1977,4 215 772,32.3,  120 040,  46 746,1.74,28.5,11.1,3.85,86.9,59.4
1978,4 289 658,32.9,  121 337,  46 860,1.74,28.3,10.9,3.79,84.9,59.7
1979,4 365 583,33.5,  124 288,  46 914,1.77,28.5,10.7,3.78,82.6,60.2
1980,4 444 008,34.1,  126 793,  47 317,1.79,28.5,10.6,3.75,80.4,60.6
1981,4 524 628,34.7,  129 153,  47 388,1.81,28.5,10.5,3.72,78.3,61.0
1982,4 607 985,35.3,  132 513,  47 562,1.84,28.8,10.3,3.71,76.1,61.4
1983,4 691 884,36.0,  130 983,  48 134,1.77,27.9,10.3,3.58,75.7,61.6
1984,4 775 836,36.6,  133 397,  48 341,1.78,27.9,10.1,3.55,74.1,61.9
1985,4 861 731,37.3,  135 420,  48 685,1.78,27.9,10.0,3.52,72.4,62.2
1986,4 950 063,38.0,  138 420,  48 487,1.82,28.0,9.8,3.51,70.4,62.8
1987,5 040 984,38.7,  140 545,  48 634,1.82,27.9,9.6,3.48,68.3,63.2
1988,5 132 294,39.4,  139 993,  49 284,1.77,27.3,9.6,3.39,67.8,63.3
1989,5 223 704,40.1,  141 177,  49 064,1.76,27.0,9.4,3.35,65.9,63.8
1990,5 316 176,40.8,  142 451,  49 620,1.75,26.8,9.3,3.31,64.6,64.0
1991,5 406 246,41.5,  137 392,  50 082,1.62,25.4,9.3,3.13,64.6,64.1
1992,5 492 686,42.1,  135 754,  50 182,1.56,24.7,9.1,3.04,63.8,64.3
1993,5 577 434,42.8,  134 693,  50 769,1.51,24.2,9.1,2.98,62.6,64.4
1994,5 660 728,43.4,  134 185,  51 519,1.46,23.7,9.1,2.93,61.6,64.5
1995,5 743 219,44.0,  133 673,  51 355,1.43,23.3,8.9,2.88,60.6,64.9
1996,5 825 145,44.7,  133 053,  51 519,1.40,22.8,8.8,2.83,59.4,65.1
1997,5 906 481,45.3,  132 598,  51 459,1.37,22.5,8.7,2.79,58.1,65.5
1998,5 987 312,45.9,  132 287,  51 762,1.35,22.1,8.6,2.76,57.0,65.7
1999,6 067 758,46.5,  132 364,  51 997,1.33,21.8,8.6,2.73,55.1,66.1
2000,6 148 899,47.2,  134 014,  52 100,1.33,21.8,8.5,2.73,53.3,66.5
2001,6 230 747,47.8,  133 878,  52 095,1.31,21.5,8.4,2.70,51.8,66.8
2002,6 312 407,48.4,  134 020,  52 481,1.29,21.2,8.3,2.67,50.1,67.1
2003,6 393 898,49.0,  134 302,  52 858,1.27,21.0,8.3,2.65,48.3,67.5
2004,6 475 751,49.7,  135 228,  52 965,1.27,20.9,8.2,2.64,46.6,67.8
2005,6 558 176,50.3,  135 800,  53 213,1.26,20.7,8.1,2.62,44.9,68.2
2006,6 641 416,50.9,  136 910,  53 016,1.26,20.6,8.0,2.61,43.1,68.7
2007,6 725 949,51.6,  138 563,  53 392,1.27,20.6,7.9,2.61,41.4,69.1
2008,6 811 597,52.2,  140 164,  54 038,1.26,20.6,7.9,2.61,39.9,69.3
2009,6 898 306,52.9,  141 201,  53 910,1.27,20.5,7.8,2.61,38.4,69.8
2010,6 985 603,53.6,  141 633,  54 329,1.25,20.3,7.8,2.59,37.1,70.1
2011,7 073 125,54.2,  142 135,  54 394,1.24,20.1,7.7,2.57,35.8,70.5
2012,7 161 698,54.9,  144 194,  54 790,1.25,20.1,7.7,2.59,34.4,70.9
2013,7 250 593,55.6,  143 422,  55 034,1.22,19.8,7.6,2.56,33.5,71.2
2014,7 339 013,56.3,  143 671,  55 218,1.21,19.6,7.5,2.55,32.3,71.6
2015,7 426 598,57.0,  142 608,  55 893,1.17,19.2,7.5,2.52,31.5,71.8
